#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
1.130578500000000020e+01	1.020111500000000060e+00	-2.394989999999999966e-02	9.907766700000000260e-01	-5.838750699999999821e-02	1.052386599999999950e+00	7.862736500000000114e-03
1.193775800000000054e+01	1.019191500000000028e+00	-2.434890799999999897e-02	9.924514300000000233e-01	-6.311626300000000578e-02	1.048102300000000042e+00	1.068168599999999926e-02
1.260505700000000040e+01	1.018313299999999977e+00	-2.499027900000000066e-02	9.941137300000000288e-01	-6.719102799999999986e-02	1.043591699999999900e+00	1.272344100000000026e-02
1.330965699999999963e+01	1.016865700000000095e+00	-2.569856400000000013e-02	9.949980999999999964e-01	-7.083150900000000083e-02	1.039483200000000052e+00	1.429739399999999973e-02
1.405364299999999922e+01	1.015190700000000001e+00	-2.643643199999999929e-02	9.946771399999999597e-01	-7.314273300000000144e-02	1.035729499999999970e+00	1.475415700000000038e-02
1.483921600000000041e+01	1.013131199999999899e+00	-2.733633400000000033e-02	9.928615899999999606e-01	-7.427571099999999427e-02	1.033178600000000058e+00	1.422344400000000002e-02
1.566870100000000043e+01	1.010539300000000029e+00	-2.816474500000000145e-02	9.891447700000000065e-01	-7.423360399999999470e-02	1.032259500000000108e+00	1.287388199999999969e-02
1.654455300000000051e+01	1.007836100000000012e+00	-2.843066400000000132e-02	9.838371599999999884e-01	-7.280317399999999828e-02	1.032071500000000031e+00	1.061513400000000003e-02
1.746936399999999878e+01	1.005146099999999931e+00	-2.850319000000000116e-02	9.781850899999999793e-01	-6.990257900000000635e-02	1.031641699999999995e+00	8.056604599999999533e-03
1.844586999999999932e+01	1.002270299999999947e+00	-2.815758000000000150e-02	9.724374700000000260e-01	-6.565192799999999829e-02	1.030770900000000045e+00	4.694028900000000136e-03
1.947696099999999930e+01	9.993370700000000495e-01	-2.752467999999999929e-02	9.680674599999999907e-01	-6.022691000000000155e-02	1.029357199999999972e+00	1.368110600000000060e-03
2.056568800000000152e+01	9.966851300000000302e-01	-2.635130800000000037e-02	9.648682600000000331e-01	-5.454093499999999872e-02	1.027363000000000026e+00	-1.438405100000000056e-03
2.171527199999999880e+01	9.941242999999999608e-01	-2.498224799999999857e-02	9.629295599999999622e-01	-4.826840300000000139e-02	1.024513299999999960e+00	-3.598264800000000162e-03
