#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
6.444752200000000641e+01	9.965786800000000500e-01	-2.076052200000000174e-03	9.545631199999999872e-01	-3.125249299999999925e-02	1.038396600000000003e+00	2.956137299999999843e-02
6.805002199999999846e+01	9.965826899999999933e-01	-1.512987300000000028e-03	9.602370999999999546e-01	-3.252656799999999876e-02	1.032725600000000021e+00	3.189540700000000062e-02
7.185389600000000598e+01	9.965422900000000528e-01	-1.283264299999999991e-03	9.656473700000000049e-01	-3.338119900000000029e-02	1.027807600000000043e+00	3.321455699999999872e-02
7.587039900000000614e+01	9.966653599999999447e-01	-7.711780100000000361e-04	9.706286100000000028e-01	-3.372745900000000130e-02	1.023355699999999979e+00	3.403294700000000089e-02
8.011141700000000299e+01	9.967179900000000536e-01	-6.787349000000000463e-04	9.748927099999999957e-01	-3.384824399999999955e-02	1.019283200000000056e+00	3.437949399999999656e-02
8.458950099999999850e+01	9.968117399999999462e-01	-2.752228100000000044e-04	9.784582400000000346e-01	-3.367758700000000188e-02	1.015957800000000022e+00	3.435230300000000070e-02
8.931790100000000621e+01	9.968238400000000166e-01	6.906693600000000629e-05	9.814669200000000204e-01	-3.321088900000000038e-02	1.012920899999999902e+00	3.425352999999999731e-02
9.431060999999999694e+01	9.969231800000000199e-01	3.940628699999999753e-04	9.834982300000000288e-01	-3.275559499999999846e-02	1.010511200000000054e+00	3.389996900000000202e-02
9.958240299999999934e+01	9.967023600000000094e-01	9.635235999999999714e-04	9.847307299999999985e-01	-3.190749899999999889e-02	1.009008200000000022e+00	3.353659199999999702e-02
1.051488800000000055e+02	9.966277500000000344e-01	1.450495499999999950e-03	9.854045500000000457e-01	-3.109935399999999919e-02	1.008171699999999893e+00	3.310425699999999805e-02
1.110265100000000018e+02	9.966297899999999599e-01	1.816701200000000061e-03	9.853491599999999462e-01	-2.977892000000000039e-02	1.007953000000000099e+00	3.266634499999999941e-02
1.172326900000000052e+02	9.962795100000000348e-01	2.168650399999999968e-03	9.845357300000000533e-01	-2.846182699999999857e-02	1.008336700000000086e+00	3.246278699999999989e-02
1.237857900000000058e+02	9.962072699999999781e-01	2.891634399999999834e-03	9.833761500000000044e-01	-2.715629599999999991e-02	1.009400199999999970e+00	3.203032299999999943e-02
1.307051899999999875e+02	9.961089300000000035e-01	3.678078500000000160e-03	9.818186399999999647e-01	-2.552939499999999987e-02	1.011027399999999909e+00	3.185897699999999666e-02
1.380113800000000026e+02	9.960922899999999913e-01	4.349393000000000009e-03	9.799724699999999844e-01	-2.352552100000000063e-02	1.013035300000000083e+00	3.138541599999999931e-02
1.457259599999999864e+02	9.962438500000000419e-01	5.361815600000000015e-03	9.780987300000000273e-01	-2.123926799999999865e-02	1.015232399999999924e+00	3.073623600000000011e-02
