#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
8.737641999999999598e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.533567600000000336e-02	1.050000000000000044e+00	3.533567600000000336e-02
9.369087100000000135e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.539948799999999979e-02	1.050000000000000044e+00	3.539948799999999979e-02
1.004616500000000059e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.547271400000000241e-02	1.050000000000000044e+00	3.547271400000000241e-02
1.077217299999999938e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.555671999999999999e-02	1.050000000000000044e+00	3.555671999999999999e-02
1.155064899999999994e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.565306099999999978e-02	1.050000000000000044e+00	3.565306099999999978e-02
1.238538199999999989e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.576350999999999836e-02	1.050000000000000044e+00	3.576350999999999836e-02
1.328043900000000122e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.589007899999999834e-02	1.050000000000000044e+00	3.589007899999999834e-02
1.424017900000000054e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.603505399999999692e-02	1.050000000000000044e+00	3.603505399999999692e-02
1.526927799999999991e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.620102099999999989e-02	1.050000000000000044e+00	3.620102099999999989e-02
1.637274600000000078e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.639090799999999959e-02	1.050000000000000044e+00	3.639090799999999959e-02
1.755595899999999858e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.660801500000000069e-02	1.050000000000000044e+00	3.660801500000000069e-02
1.882467900000000043e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.685605499999999868e-02	1.050000000000000044e+00	3.685605499999999868e-02
2.018508600000000115e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.713919300000000090e-02	1.050000000000000044e+00	3.713919300000000090e-02
2.164380600000000072e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.746208799999999756e-02	1.050000000000000044e+00	3.746208799999999756e-02
2.320794400000000053e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.782993300000000308e-02	1.050000000000000044e+00	3.782993300000000308e-02
2.488511799999999994e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.824849400000000094e-02	1.050000000000000044e+00	3.824849400000000094e-02
2.668349600000000237e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.872414700000000043e-02	1.050000000000000044e+00	3.872414700000000043e-02
2.861183800000000019e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.926391099999999856e-02	1.050000000000000044e+00	3.926391099999999856e-02
3.067953600000000165e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.987548099999999734e-02	1.050000000000000044e+00	3.987548099999999734e-02
3.289666100000000029e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-4.056724400000000230e-02	1.050000000000000044e+00	4.056724400000000230e-02
3.527401199999999903e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-4.134830400000000239e-02	1.050000000000000044e+00	4.134830400000000239e-02
3.782316599999999767e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-4.222848199999999774e-02	1.050000000000000044e+00	4.222848199999999774e-02
4.055654200000000174e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-4.321832600000000135e-02	1.050000000000000044e+00	4.321832600000000135e-02
4.348745000000000118e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-4.432909899999999681e-02	1.050000000000000044e+00	4.432909899999999681e-02
4.663016700000000014e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-4.557277199999999751e-02	1.050000000000000044e+00	4.557277199999999751e-02
5.000000000000000000e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-4.696200700000000006e-02	1.050000000000000044e+00	4.696200700000000006e-02
5.361336099999999760e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-4.851014700000000346e-02	1.050000000000000044e+00	4.851014700000000346e-02
5.748785000000000309e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-5.023119799999999774e-02	1.050000000000000044e+00	5.023119799999999774e-02
6.164233699999999772e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-5.213982899999999865e-02	1.050000000000000044e+00	5.213982899999999865e-02
6.609705699999999524e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-5.425136900000000068e-02	1.050000000000000044e+00	5.425136900000000068e-02
7.087370799999999917e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-5.658182700000000120e-02	1.050000000000000044e+00	5.658182700000000120e-02
7.599555400000000418e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-5.914791900000000019e-02	1.050000000000000044e+00	5.914791900000000019e-02
8.148754199999999628e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-6.196711399999999675e-02	1.050000000000000044e+00	6.196711399999999675e-02
8.737641999999999598e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-6.505769899999999661e-02	1.050000000000000044e+00	6.505769899999999661e-02
9.369087100000000419e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-6.843885600000000624e-02	1.050000000000000044e+00	6.843885600000000624e-02
1.004616499999999974e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-7.213075600000000420e-02	1.050000000000000044e+00	7.213075600000000420e-02
1.077217300000000023e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-7.615467300000000606e-02	1.050000000000000044e+00	7.615467300000000606e-02
1.155064900000000080e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-8.053310299999999478e-02	1.050000000000000044e+00	8.053310299999999478e-02
1.238538199999999961e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-8.528990200000000077e-02	1.050000000000000044e+00	8.528990200000000077e-02
1.328043899999999894e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-9.045043099999999781e-02	1.050000000000000044e+00	9.045043099999999781e-02
1.424017900000000054e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-9.604171000000000236e-02	1.050000000000000044e+00	9.604171000000000236e-02
1.526927799999999934e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-1.020925800000000022e-01	1.050000000000000044e+00	1.020925800000000022e-01
1.637274599999999964e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-1.086338899999999968e-01	1.050000000000000044e+00	1.086338899999999968e-01
1.755595900000000029e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-1.156986599999999948e-01	1.050000000000000044e+00	1.156986599999999948e-01
1.882467900000000100e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-1.233222600000000030e-01	1.050000000000000044e+00	1.233222600000000030e-01
2.018508599999999888e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-1.315426399999999885e-01	1.050000000000000044e+00	1.315426399999999885e-01
2.164380599999999959e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-1.404005200000000009e-01	1.050000000000000044e+00	1.404005200000000009e-01
2.320794400000000223e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-1.499396100000000009e-01	1.050000000000000044e+00	1.499396100000000009e-01
2.488511800000000221e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-1.602068500000000117e-01	1.050000000000000044e+00	1.602068500000000117e-01
2.668349600000000009e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-1.712526099999999996e-01	1.050000000000000044e+00	1.712526099999999996e-01
2.861183799999999792e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-1.831310300000000002e-01	1.050000000000000044e+00	1.831310300000000002e-01
3.067953599999999824e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-1.959002200000000138e-01	1.050000000000000044e+00	1.959002200000000138e-01
3.289666099999999915e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-2.096225899999999975e-01	1.050000000000000044e+00	2.096225899999999975e-01
3.527401199999999790e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-2.243651600000000079e-01	1.050000000000000044e+00	2.243651600000000079e-01
3.782316600000000108e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-2.401998599999999873e-01	1.050000000000000044e+00	2.401998599999999873e-01
4.055654199999999946e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-2.572039600000000092e-01	1.050000000000000044e+00	2.572039600000000092e-01
4.348744999999999891e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-2.754603600000000152e-01	1.050000000000000044e+00	2.754603600000000152e-01
4.663016700000000128e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-2.950580500000000161e-01	1.050000000000000044e+00	2.950580500000000161e-01
5.000000000000000000e+03	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.160925700000000171e-01	1.050000000000000044e+00	3.160925700000000171e-01
